sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S018,Pristine PIM-1,Sheet1,20,,,,ridge,1,1.099877868397791,1.3946908968268363,0.29481302842904533,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.339666805238885,1.0564937388282205,0.043384129569570495,0.3381971579986158,1.4197521685659373,-0.31987430016814633,-0.025061271739101,0.3381971579986158,1
S017,Pristine PIM-1,Sheet1,19,,,,ridge,1,0.9001654339746269,1.3109326319933974,0.4107671980187705,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.384284334380299,1.0077927547709926,-0.10762732079636572,0.30313987722240476,1.3662845325914046,-0.4661190986167777,-0.05535190059800721,0.30313987722240476,2
S019,Pristine PIM-1,Sheet1,21,,,,ridge,1,1.1153330958348424,1.4478605850708064,0.332527489235964,3.4955443375464483,CO2/CH4,log10_sel_co2_ch4_from_perm,4.61087743338129,4.943404922617255,1.2269912998546242,-0.11165820401978177,0.2208692852161822,1.6069373292763078,-0.4916042334414654,-0.15907674420550144,0.2208692852161822,3
S058,PIM-Trip-TB,Sheet1,60,,,,ridge,2,1.0305259218823384,1.193401936115472,0.16287601423313358,3.9871745010875417,CO2/CH4,log10_sel_co2_ch4_from_perm,5.01770042296988,5.180576437203014,1.0404851680105067,-0.009959246128168342,0.15291676810496524,1.4021767447110878,-0.3716508228287494,-0.2087748085956158,0.15291676810496524,4
S059,PIM-Trip-TB,Sheet1,61,,,,ridge,2,1.2582505360768417,1.309527394830366,0.05127685875352439,3.596707029681446,CO2/CH4,log10_sel_co2_ch4_from_perm,4.854957565758288,4.906234424511812,1.188613950789754,0.06963658528708772,0.1209134440406121,1.5648037632059215,-0.30655322712907984,-0.25527636837555545,0.1209134440406121,5
S006,PIM-1-M,Sheet1,8,,,,ridge,3,0.9684063871642432,1.0047152478117902,0.036308860647547014,4.151676230847047,CO2/CH4,log10_sel_co2_ch4_from_perm,5.12008261801129,5.156391478658838,0.9780793524719993,-0.009672965307756076,0.026635895339790938,1.3336629047446131,-0.3652565175803699,-0.3289476569328229,0.026635895339790938,6
S070,PIM-PI-12,Sheet1,72,,,,ridge,5,1.2057798598462204,1.0009700794825558,-0.2048097803636646,3.865696059916071,CO2/CH4,log10_sel_co2_ch4_from_perm,5.071475919762292,4.866666139398626,1.0865695538873925,0.11921030595882787,-0.08559947440483673,1.4527716806425626,-0.2469918207963422,-0.4518016011600068,-0.08559947440483673,7
S010,Vinylated PIM-1,Sheet1,12,,,,ridge,3,1.0955716622357945,1.105494735393581,0.0099230731577864,3.510545010206612,CO2/CH4,log10_sel_co2_ch4_from_perm,4.606116672442407,4.616039745600193,1.2213006046117698,-0.12572894237597532,-0.11580586921818892,1.6006896522000216,-0.5051179899642271,-0.4951949168064407,-0.11580586921818892,8
S008,Brominated vinylated PIM-1,Sheet1,10,,,,ridge,4,1.1625184518664071,1.1715665475998465,0.009048095733439343,3.2764618041732443,CO2/CH4,log10_sel_co2_ch4_from_perm,4.438980256039652,4.4480283517730905,1.3101030348216969,-0.14758458295528976,-0.1385364872218504,1.6981836988611492,-0.535665246994742,-0.5266171512613027,-0.1385364872218504,9
S009,Thiophenated vinylated PIM-1,Sheet1,11,,,,ridge,4,1.142389466118836,1.1509001507567287,0.008510684637892618,3.2392994791268923,CO2/CH4,log10_sel_co2_ch4_from_perm,4.381688945245728,4.390199629883621,1.3242010337011931,-0.18181156758235706,-0.17330088294446444,1.7136615518583806,-0.5712720857395446,-0.562761401101652,-0.17330088294446444,10
S005,AO−PIM-1,Sheet1,7,,,,ridge,5,1.530350390252444,1.002912779295962,-0.527437610956482,3.061829307294699,CO2/CH4,log10_sel_co2_ch4_from_perm,4.592179697547143,4.064742086590661,1.391526592059385,0.13882379819305912,-0.3886138127634229,1.7875766588272237,-0.2572262685747797,-0.7846638795312617,-0.3886138127634229,11
S017,Pristine PIM-1,Sheet1,19,,,,random_forest,1,0.9001654339746269,1.174368541674151,0.27420310769952405,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.247720244061052,1.0077927547709926,-0.10762732079636572,0.16657578690315833,1.3662845325914046,-0.4661190986167777,-0.19191599091725364,0.16657578690315833,1
S018,Pristine PIM-1,Sheet1,20,,,,random_forest,1,1.099877868397791,1.1775892327747641,0.07771136437697312,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.122565141186812,1.0564937388282205,0.043384129569570495,0.12109549394654362,1.4197521685659373,-0.31987430016814633,-0.2421629357911732,0.12109549394654362,2
S058,PIM-Trip-TB,Sheet1,60,,,,random_forest,2,1.0305259218823384,1.1493942254842815,0.11886830360194311,3.9871745010875417,CO2/CH4,log10_sel_co2_ch4_from_perm,5.01770042296988,5.136568726571824,1.0404851680105067,-0.009959246128168342,0.10890905747377477,1.4021767447110878,-0.3716508228287494,-0.2527825192268063,0.10890905747377477,3
