sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family,model_name,fold_id,y_true,y_pred,residual,screening_x_true,pair_label,screening_target_column,screening_score_true,screening_score_pred,upper_bound_2008_log_selectivity,distance_to_upper_bound_2008_true,distance_to_upper_bound_2008_pred,upper_bound_2019_log_selectivity,distance_to_upper_bound_2019_true,distance_to_upper_bound_2019_pred,screening_rank_score,pred_rank
S033,PIM-DTFM-Btrip,Sheet1,35,,,,ridge,5,1.1299595379833507,1.2966553648365815,0.1666958268532308,4.4623979978989565,CO2/CH4,log10_sel_co2_ch4_from_perm,5.592357535882307,5.759053362735538,0.8602031130744617,0.26975642490888896,0.43645225176211977,1.2042494240899237,-0.07428988610657306,0.09240594074665776,0.43645225176211977,1
S034,PIM-DTFM-Btrip,Sheet1,36,,,,ridge,5,1.216820682085793,1.3350218156240703,0.11820113353827733,4.359835482339888,CO2/CH4,log10_sel_co2_ch4_from_perm,5.576656164425682,5.694857297963958,0.8991115028920141,0.31770917919377883,0.43591031273205616,1.2469660069966577,-0.030145324910864746,0.08805580862741258,0.43591031273205616,2
S039,PIM-HMI-Trip,Sheet1,41,,,,ridge,2,1.097313820086803,1.2731483972728548,0.1758345771860519,4.429752280002408,CO2/CH4,log10_sel_co2_ch4_from_perm,5.52706610008921,5.702900677275262,0.8725876798030463,0.2247261402837566,0.4005607174698085,1.2178461412480033,-0.12053232116120038,0.055302256024851504,0.4005607174698085,3
S035,PIM-DTFM-Btrip,Sheet1,37,,,,ridge,5,1.2784966979687609,1.345012058594232,0.06651536062547114,4.227886704613674,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5063834025824345,5.572898763207906,0.9491679436075735,0.32932875436118736,0.3958441149866585,1.3019217661496,-0.023425068180839226,0.04309029244463192,0.3958441149866585,4
S049,PIM-TMN-Trip,Sheet1,51,,,,ridge,3,1.0268998959598714,1.231617959380681,0.20471806342080967,4.52244423350632,CO2/CH4,log10_sel_co2_ch4_from_perm,5.549344129466192,5.754062192887002,0.837423812768178,0.1894760831916934,0.39419414661250307,1.1792405796053909,-0.15234068364551945,0.05237737977529022,0.39419414661250307,5
S036,PIM-DTFM-Btrip,Sheet1,38,,,,ridge,5,1.30813033608192,1.35394669823,0.045816362148079826,4.1702617153949575,CO2/CH4,log10_sel_co2_ch4_from_perm,5.478392051476877,5.524208413624957,0.9710287134174052,0.33710162266451493,0.38291798481259476,1.3259221781523973,-0.017791842070477237,0.028024520077602588,0.38291798481259476,6
S050,PIM-TMN-Trip,Sheet1,52,,,,ridge,3,1.105803726168039,1.2566138237925044,0.1508100976244655,4.413299764081252,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519103490249291,5.669913587873756,0.8788291501828474,0.22697457598519155,0.37778467360965706,1.2246985010652276,-0.1188947748971887,0.03191532272727682,0.37778467360965706,7
S051,PIM-TMN-Trip,Sheet1,53,,,,ridge,3,1.1305082706312857,1.2682763487691535,0.13776807813786784,4.373794416714731,CO2/CH4,log10_sel_co2_ch4_from_perm,5.5043026873460175,5.642070765483885,0.8938160042672634,0.2366922663640223,0.37446034450189014,1.2411522067572396,-0.11064393612595391,0.027124142011913932,0.37446034450189014,8
S018,Pristine PIM-1,Sheet1,20,,,,ridge,4,1.099877868397791,1.4261439893420391,0.3262661209442481,3.944975908412048,CO2/CH4,log10_sel_co2_ch4_from_perm,5.044853776809839,5.371119897754087,1.0564937388282205,0.043384129569570495,0.3696502505138186,1.4197521685659373,-0.31987430016814633,0.0063918207761017864,0.3696502505138186,9
S040,PIM-HMI-Trip,Sheet1,42,,,,ridge,2,1.190101973498496,1.2996057245800205,0.10950375108152466,4.276461804173244,CO2/CH4,log10_sel_co2_ch4_from_perm,5.466563777671739,5.576067528753264,0.9307403641084954,0.2593616093900005,0.3688653604715252,1.281690570997759,-0.09158859749926318,0.017915153582261478,0.3688653604715252,10
S041,PIM-HMI-Trip,Sheet1,43,,,,ridge,2,1.206020617995359,1.311950136257548,0.1059295182621891,4.24064907462068,CO2/CH4,log10_sel_co2_ch4_from_perm,5.446669692616039,5.552599210878228,0.9443263768370856,0.26169424115827333,0.36762375942046244,1.2966063267464323,-0.0905857087510733,0.015343809511115802,0.36762375942046244,11
S042,PIM-HMI-Trip,Sheet1,44,,,,ridge,2,1.2294173739646963,1.3181390241793403,0.08872165021464395,4.214843848047698,CO2/CH4,log10_sel_co2_ch4_from_perm,5.444261222012394,5.532982872227038,0.9541159165081713,0.275301457456525,0.36402310767116897,1.307354026277037,-0.07793665231234059,0.010784997902303362,0.36402310767116897,12
S017,Pristine PIM-1,Sheet1,19,,,,ridge,4,0.9001654339746269,1.3692488453989895,0.4690834114243626,4.073351702386901,CO2/CH4,log10_sel_co2_ch4_from_perm,4.9735171363615285,5.442600547785891,1.0077927547709926,-0.10762732079636572,0.3614560906279969,1.3662845325914046,-0.4661190986167777,0.0029643128075849123,0.3614560906279969,13
S052,PIM-TMN-Trip,Sheet1,54,,,,ridge,3,1.151267675330649,1.2741233718473761,0.12285569651672712,4.309630167425898,CO2/CH4,log10_sel_co2_ch4_from_perm,5.460897842756547,5.583753539273275,0.9181575252417827,0.23311015008886626,0.3559658466055934,1.2678761756405519,-0.11660850030990288,0.006247196206824235,0.3559658466055934,14
S044,PIM-TFM-Btrip,Sheet1,46,,,,ridge,4,1.2474822606770544,1.25884340021307,0.011361139536015585,4.344392273685111,CO2/CH4,log10_sel_co2_ch4_from_perm,5.591874534362166,5.6032356738981814,0.9049700797716717,0.3425121809053827,0.3538733204413983,1.253397997273533,-0.0059157365964785935,0.005445402939536992,0.3538733204413983,15
S045,PIM-TFM-Btrip,Sheet1,47,,,,ridge,4,1.2857249223712102,1.2830364499428604,-0.0026884724283497974,4.264817823009537,CO2/CH4,log10_sel_co2_ch4_from_perm,5.550542745380747,5.547854272952398,0.9351576559004935,0.3505672664707167,0.3478787940423669,1.286540209133414,-0.0008152867622037707,-0.003503759190553568,0.3478787940423669,16
S046,PIM-TFM-Btrip,Sheet1,48,,,,ridge,4,1.289434677672704,1.295148245459856,0.005713567787152041,4.230448921378274,CO2/CH4,log10_sel_co2_ch4_from_perm,5.519883599050978,5.52559716683813,0.9481959342128086,0.34123874345989536,0.3469523112470474,1.3008546204750477,-0.011419942802343819,-0.005706375015191778,0.3469523112470474,17
